ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-120909,ocds-lcuori-120909/3-contract,120909,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-120916,ocds-lcuori-120916/3-contract,120916,HN-RTN-05019995108892,"ACCESORIOS PARA COMPUTADORA Y OFICINA, S. A."
ocds-lcuori-120911,ocds-lcuori-120911/3-contract,120911,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120912,ocds-lcuori-120912/3-contract,120912,HN-RTN-08019006034679,Empresa Tecnologias ATM  S de R.L.
ocds-lcuori-120913,ocds-lcuori-120913/3-contract,120913,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-120914,ocds-lcuori-120914/3-contract,120914,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-120915,ocds-lcuori-120915/3-contract,120915,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-120919,ocds-lcuori-120919/3-contract,120919,HN-RTN-08019006034679,Empresa Tecnologias ATM  S de R.L.
ocds-lcuori-120920,ocds-lcuori-120920/3-contract,120920,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-120922,ocds-lcuori-120922/3-contract,120922,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-120923,ocds-lcuori-120923/3-contract,120923,HN-RTN-05019995108892,"ACCESORIOS PARA COMPUTADORA Y OFICINA, S. A."
ocds-lcuori-120918,ocds-lcuori-120918/3-contract,120918,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121061,ocds-lcuori-121061/3-contract,121061,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120927,ocds-lcuori-120927/3-contract,120927,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120928,ocds-lcuori-120928/3-contract,120928,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120929,ocds-lcuori-120929/3-contract,120929,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-120933,ocds-lcuori-120933/3-contract,120933,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-120934,ocds-lcuori-120934/3-contract,120934,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-120940,ocds-lcuori-120940/3-contract,120940,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120942,ocds-lcuori-120942/3-contract,120942,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-120936,ocds-lcuori-120936/3-contract,120936,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-120937,ocds-lcuori-120937/3-contract,120937,HN-RTN-18079013613810,"BIMOSA, S. de R.L. "
ocds-lcuori-120945,ocds-lcuori-120945/3-contract,120945,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120944,ocds-lcuori-120944/3-contract,120944,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-120947,ocds-lcuori-120947/3-contract,120947,HN-RTN-18079013613810,"BIMOSA, S. de R.L. "
ocds-lcuori-120949,ocds-lcuori-120949/3-contract,120949,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-120951,ocds-lcuori-120951/3-contract,120951,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120952,ocds-lcuori-120952/3-contract,120952,HN-RTN-08019004002160,Leoplast S.de R.L.
ocds-lcuori-120953,ocds-lcuori-120953/3-contract,120953,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120959,ocds-lcuori-120959/3-contract,120959,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120960,ocds-lcuori-120960/3-contract,120960,HN-RTN-05019995108892,"ACCESORIOS PARA COMPUTADORA Y OFICINA, S. A."
ocds-lcuori-120957,ocds-lcuori-120957/3-contract,120957,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120961,ocds-lcuori-120961/3-contract,120961,HN-RTN-08019006034679,Empresa Tecnologias ATM  S de R.L.
ocds-lcuori-120962,ocds-lcuori-120962/3-contract,120962,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-120965,ocds-lcuori-120965/3-contract,120965,HN-RTN-08019002261399,REPREQUIMICA
ocds-lcuori-120966,ocds-lcuori-120966/3-contract,120966,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120967,ocds-lcuori-120967/3-contract,120967,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-120969,ocds-lcuori-120969/3-contract,120969,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-120972,ocds-lcuori-120972/3-contract,120972,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120974,ocds-lcuori-120974/3-contract,120974,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120975,ocds-lcuori-120975/3-contract,120975,HN-RTN-08019999408461,REPRESENTACIONES Y DISTRIBUCIONES HERNANDEZ S. DE R. L.
ocds-lcuori-120977,ocds-lcuori-120977/3-contract,120977,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
